Asia_mut1.Sachs,Asia_mut1.OurApproach,Asia_mut2.Sachs,Asia_mut2.OurApproach,,,,,
0,0,0,0,,,,,
0.8868,0.862,0.857,0.8,,,,,
0.8868,0.862,0.8727,0.8214,,,,,
0.9464,0.9643,0.91,0.9643,,,,,
0.8815,0.909,0.91,0.9655,,,,,
0.89,0.91,0.9,0.969,,,,,
0.891,0.919,0.908,0.97,,,,,
0.892,0.925,0.9259,0.9474,,,,,0
0.8928,0.931,0.92,0.939,,,,,450
0.9,0.9499,0.91,0.91,,,,,900
0.88,0.939,0.928,0.925,,,,,1350
0.91,0.95,0.8727,0.9285,,,,,1800
0.926,0.959,0.8,0.93,,,,,2250
0.9454,0.964,0.889,0.947,,,,,2700
0.928,0.967,0.9,0.95,,,,,3150
0.945,0.969,0.92,0.96555,,,,,3600
0.94,0.97,0.95,0.97,,,,,4050
0.9454,0.964,0.964,0.981,,,,,4500
0.945,0.965,0.966,0.982,,,,,4950
0.9455,0.953,0.95,0.95,,,,,5400
0.9454,0.964,0.9,0.97,,,,,
